track_id,album_id,track_name,track_duration_ms,track_spotify_url,track_preview_url,track_duration_display,original_track_name
004iU8s6Wdl5NnuYSgveT3,33XZTGUv8p3Cl3KYwZQ2VH,We Walk - 1983 / Live In Toronto,175635,https://open.spotify.com/track/004iU8s6Wdl5NnuYSgveT3,,2:55,We Walk
00a4SBpnXNk66QM7iPIKN3,5fDDOCbSPb82bdi49H2Kho,They Need a Million,291000,https://open.spotify.com/track/00a4SBpnXNk66QM7iPIKN3,https://p.scdn.co/mp3-preview/3f1b7a864156540d50a046c248b3901591665de5?cid=bdda3e704a834f918700d9e4e4b07e63,4:51,They Need a Million
00B7SBwrjbycLMOgAmeIU8,0KJc9ksnoJJsdpQxV3z5i1,Reach Out,251588,https://open.spotify.com/track/00B7SBwrjbycLMOgAmeIU8,https://p.scdn.co/mp3-preview/eccd28cee4146ab727693a9bd3119b056c897407?cid=bdda3e704a834f918700d9e4e4b07e63,4:11,Reach Out
00ITtxUozN0vifE2uYvtqn,2yuTRGIackbcReLUXOYBqU,Let Me Entertain You - Remastered 2011,181693,https://open.spotify.com/track/00ITtxUozN0vifE2uYvtqn,,3:1,Let Me Entertain You
00oZhqZIQfL9P5CjOP6JsO,3PRoXYsngSwjEQWR5PsHWR,Tomorrow Never Knows - Remastered 2009,179546,https://open.spotify.com/track/00oZhqZIQfL9P5CjOP6JsO,,2:59,Tomorrow Never Knows
00v40zjqnsp6FDqyyt25uJ,4rsA0I5GWl2bnrQLI4ODVm,The Battle of New Orleans,171920,https://open.spotify.com/track/00v40zjqnsp6FDqyyt25uJ,https://p.scdn.co/mp3-preview/ff6371777a27ea0f72a953ce15c68e31bc142a9b?cid=bdda3e704a834f918700d9e4e4b07e63,2:51,The Battle of New Orleans
019ZYSWnKXDFC0bcxfGxzT,4M9bA8YsjIlZOg2wD0BmsM,Ko Ko Blue,272613,https://open.spotify.com/track/019ZYSWnKXDFC0bcxfGxzT,https://p.scdn.co/mp3-preview/be8d1cb6be1ed27ad0724689513c5c080659f79c?cid=bdda3e704a834f918700d9e4e4b07e63,4:32,Ko Ko Blue
01AKO5Syk8cVCKTjyZfuBw,2ksXsCYl9lqPQKEESlbPPK,No Surprize,266164,https://open.spotify.com/track/01AKO5Syk8cVCKTjyZfuBw,,4:26,No Surprize
01jgBajEVAf7SHWIryrIAZ,1v4O55JGou3T0Vlj06fdXz,I Can't Believe It,214493,https://open.spotify.com/track/01jgBajEVAf7SHWIryrIAZ,https://p.scdn.co/mp3-preview/7d3d7092d859864a89074073f3e4702bd7d25dbb?cid=bdda3e704a834f918700d9e4e4b07e63,3:34,I Can't Believe It
01JYvQ6udfhUw9Jed9EzoK,29m6DinzdaD0OPqWKGyMdz,Bitch - 2009 Mix,217093,https://open.spotify.com/track/01JYvQ6udfhUw9Jed9EzoK,,3:37,Bitch
01K1zFyjJhG2Qk7PIkSAEA,39Ti6Be9Ak2d6YbxlQo0Ba,She Loves You - 2023 Mix,142160,https://open.spotify.com/track/01K1zFyjJhG2Qk7PIkSAEA,,2:22,She Loves You
01qyoYVrrXnpqt40Xz14mG,2EeDLAhZi04oPV3FJ2s6uS,Be Here In The Mornin' - Remastered 2001,138019,https://open.spotify.com/track/01qyoYVrrXnpqt40Xz14mG,,2:18,Be Here In The Mornin'
