track_id,uri,track_href,analysis_url,duration_ms,time_signature,danceability,energy,track_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type
05MqSN5l0fpj4dIiab3uLn,spotify:track:05MqSN5l0fpj4dIiab3uLn,https://api.spotify.com/v1/tracks/05MqSN5l0fpj4dIiab3uLn,https://api.spotify.com/v1/audio-analysis/05MqSN5l0fpj4dIiab3uLn,652293,4,0.803,0.756,5,-9.69,1,0.0477,0.0659,0.0669,0.0755,0.915,135.211,audio_features
05NZMYuLR71Z3qrZOUiUm2,spotify:track:05NZMYuLR71Z3qrZOUiUm2,https://api.spotify.com/v1/tracks/05NZMYuLR71Z3qrZOUiUm2,https://api.spotify.com/v1/audio-analysis/05NZMYuLR71Z3qrZOUiUm2,290067,4,0.305,0.262,7,-12.278,1,0.0297,0.886,0.0781,0.19,0.157,77.061,audio_features
05OA18gVaFhKpNN4kOv792,spotify:track:05OA18gVaFhKpNN4kOv792,https://api.spotify.com/v1/tracks/05OA18gVaFhKpNN4kOv792,https://api.spotify.com/v1/audio-analysis/05OA18gVaFhKpNN4kOv792,383107,4,0.666,0.562,4,-11.793,1,0.0391,0.789,0.687,0.123,0.398,127.822,audio_features
05Pxzy14RBBfFkgU7Qusyh,spotify:track:05Pxzy14RBBfFkgU7Qusyh,https://api.spotify.com/v1/tracks/05Pxzy14RBBfFkgU7Qusyh,https://api.spotify.com/v1/audio-analysis/05Pxzy14RBBfFkgU7Qusyh,501499,4,0.357,0.508,6,-9.789,1,0.0523,0.0475,0.00287,0.366,0.391,91.838,audio_features
05rAX74XU6h1HaoRYPMgXe,spotify:track:05rAX74XU6h1HaoRYPMgXe,https://api.spotify.com/v1/tracks/05rAX74XU6h1HaoRYPMgXe,https://api.spotify.com/v1/audio-analysis/05rAX74XU6h1HaoRYPMgXe,211493,4,0.703,0.536,7,-12.201,1,0.0378,0.0238,0.000896,0.0681,0.961,130.046,audio_features
05spmNSk1TB5CFAEbAvLuu,spotify:track:05spmNSk1TB5CFAEbAvLuu,https://api.spotify.com/v1/tracks/05spmNSk1TB5CFAEbAvLuu,https://api.spotify.com/v1/audio-analysis/05spmNSk1TB5CFAEbAvLuu,251387,4,0.464,0.927,9,-5.138,1,0.0483,0.0191,0.237,0.263,0.544,106.715,audio_features
05XKLYOAsDeZyA5983IHno,spotify:track:05XKLYOAsDeZyA5983IHno,https://api.spotify.com/v1/tracks/05XKLYOAsDeZyA5983IHno,https://api.spotify.com/v1/audio-analysis/05XKLYOAsDeZyA5983IHno,257693,4,0.611,0.732,9,-4.137,0,0.0347,0.002,0.0,0.12,0.475,113.451,audio_features
05YPoLB5jbvGwy1o331LrS,spotify:track:05YPoLB5jbvGwy1o331LrS,https://api.spotify.com/v1/tracks/05YPoLB5jbvGwy1o331LrS,https://api.spotify.com/v1/audio-analysis/05YPoLB5jbvGwy1o331LrS,141333,3,0.608,0.372,1,-9.85,1,0.0274,0.835,0.842,0.103,0.465,114.079,audio_features
05ZQWK0ML9iL2ayWA26CnD,spotify:track:05ZQWK0ML9iL2ayWA26CnD,https://api.spotify.com/v1/tracks/05ZQWK0ML9iL2ayWA26CnD,https://api.spotify.com/v1/audio-analysis/05ZQWK0ML9iL2ayWA26CnD,186147,4,0.514,0.797,4,-6.659,1,0.084,0.00157,0.0125,0.218,0.525,147.924,audio_features
060EbekVe88oybwTh9MfwX,spotify:track:060EbekVe88oybwTh9MfwX,https://api.spotify.com/v1/tracks/060EbekVe88oybwTh9MfwX,https://api.spotify.com/v1/audio-analysis/060EbekVe88oybwTh9MfwX,289213,4,0.42,0.832,4,-2.892,1,0.0335,0.351,0.0,0.769,0.499,136.854,audio_features
063s6cJUKLNjYknXXay4ua,spotify:track:063s6cJUKLNjYknXXay4ua,https://api.spotify.com/v1/tracks/063s6cJUKLNjYknXXay4ua,https://api.spotify.com/v1/audio-analysis/063s6cJUKLNjYknXXay4ua,120720,3,0.268,0.883,9,-11.461,1,0.148,0.00236,0.607,0.656,0.221,110.972,audio_features
